"dataset","signal","noise","instance","K","ARI","NMI"
"marker_poisson","marker","poisson","PLit_Pois",100,0.729,0.904
"marker_poisson","marker","poisson","PLit_Pois",200,0.743,0.909
"marker_poisson","marker","poisson","PLit_Pois",500,0.715,0.902
"marker_poisson","marker","poisson","PLit_Pois",1000,0.709,0.898
"marker_poisson","marker","poisson","PLit_NB",100,0.76,0.91
"marker_poisson","marker","poisson","PLit_NB",200,0.735,0.908
"marker_poisson","marker","poisson","PLit_NB",500,0.772,0.919
"marker_poisson","marker","poisson","PLit_NB",1000,0.709,0.898
"marker_poisson","marker","poisson","ReThiN_Pois",100,0.754,0.915
"marker_poisson","marker","poisson","ReThiN_Pois",200,0.741,0.911
"marker_poisson","marker","poisson","ReThiN_Pois",500,0.744,0.909
"marker_poisson","marker","poisson","ReThiN_Pois",1000,0.709,0.898
"marker_poisson","marker","poisson","ReThiN_NB",100,0.829,0.939
"marker_poisson","marker","poisson","ReThiN_NB",200,0.778,0.918
"marker_poisson","marker","poisson","ReThiN_NB",500,0.737,0.91
"marker_poisson","marker","poisson","ReThiN_NB",1000,0.715,0.899
"subtle_poisson","subtle","poisson","PLit_Pois",100,0,0.056
"subtle_poisson","subtle","poisson","PLit_Pois",200,0.001,0.059
"subtle_poisson","subtle","poisson","PLit_Pois",500,0.001,0.058
"subtle_poisson","subtle","poisson","PLit_Pois",1000,0,0.054
"subtle_poisson","subtle","poisson","PLit_NB",100,0,0.055
"subtle_poisson","subtle","poisson","PLit_NB",200,0,0.056
"subtle_poisson","subtle","poisson","PLit_NB",500,0,0.056
"subtle_poisson","subtle","poisson","PLit_NB",1000,-0.001,0.053
"subtle_poisson","subtle","poisson","ReThiN_Pois",100,0.002,0.061
"subtle_poisson","subtle","poisson","ReThiN_Pois",200,0.002,0.062
"subtle_poisson","subtle","poisson","ReThiN_Pois",500,0.004,0.067
"subtle_poisson","subtle","poisson","ReThiN_Pois",1000,0.006,0.076
"subtle_poisson","subtle","poisson","ReThiN_NB",100,0,0.055
"subtle_poisson","subtle","poisson","ReThiN_NB",200,0,0.056
"subtle_poisson","subtle","poisson","ReThiN_NB",500,0.001,0.058
"subtle_poisson","subtle","poisson","ReThiN_NB",1000,0.001,0.058
"multi_poisson","multi","poisson","PLit_Pois",100,0.898,0.962
"multi_poisson","multi","poisson","PLit_Pois",200,0.884,0.957
"multi_poisson","multi","poisson","PLit_Pois",500,0.894,0.961
"multi_poisson","multi","poisson","PLit_Pois",1000,0.851,0.946
"multi_poisson","multi","poisson","PLit_NB",100,0.9,0.963
"multi_poisson","multi","poisson","PLit_NB",200,0.878,0.955
"multi_poisson","multi","poisson","PLit_NB",500,0.893,0.961
"multi_poisson","multi","poisson","PLit_NB",1000,0.856,0.947
"multi_poisson","multi","poisson","ReThiN_Pois",100,0.9,0.963
"multi_poisson","multi","poisson","ReThiN_Pois",200,0.881,0.956
"multi_poisson","multi","poisson","ReThiN_Pois",500,0.904,0.965
"multi_poisson","multi","poisson","ReThiN_Pois",1000,0.851,0.946
"multi_poisson","multi","poisson","ReThiN_NB",100,0.937,0.977
"multi_poisson","multi","poisson","ReThiN_NB",200,0.891,0.959
"multi_poisson","multi","poisson","ReThiN_NB",500,0.854,0.946
"multi_poisson","multi","poisson","ReThiN_NB",1000,0.874,0.952
"dropout_poisson","dropout","poisson","PLit_Pois",100,0.735,0.805
"dropout_poisson","dropout","poisson","PLit_Pois",200,0.882,0.935
"dropout_poisson","dropout","poisson","PLit_Pois",500,0.844,0.942
"dropout_poisson","dropout","poisson","PLit_Pois",1000,0.757,0.917
"dropout_poisson","dropout","poisson","PLit_NB",100,0.745,0.806
"dropout_poisson","dropout","poisson","PLit_NB",200,0.877,0.926
"dropout_poisson","dropout","poisson","PLit_NB",500,0.877,0.953
"dropout_poisson","dropout","poisson","PLit_NB",1000,0.757,0.917
"dropout_poisson","dropout","poisson","ReThiN_Pois",100,0.7,0.776
"dropout_poisson","dropout","poisson","ReThiN_Pois",200,0.89,0.933
"dropout_poisson","dropout","poisson","ReThiN_Pois",500,0.869,0.953
"dropout_poisson","dropout","poisson","ReThiN_Pois",1000,0.757,0.917
"dropout_poisson","dropout","poisson","ReThiN_NB",100,0,0.055
"dropout_poisson","dropout","poisson","ReThiN_NB",200,-0.001,0.053
"dropout_poisson","dropout","poisson","ReThiN_NB",500,0,0.053
"dropout_poisson","dropout","poisson","ReThiN_NB",1000,0,0.056
"marker_nb","marker","nb","PLit_Pois",100,0.762,0.902
"marker_nb","marker","nb","PLit_Pois",200,0.797,0.917
"marker_nb","marker","nb","PLit_Pois",500,0.718,0.906
"marker_nb","marker","nb","PLit_Pois",1000,0.734,0.91
"marker_nb","marker","nb","PLit_NB",100,0.8,0.913
"marker_nb","marker","nb","PLit_NB",200,0.729,0.905
"marker_nb","marker","nb","PLit_NB",500,0.733,0.91
"marker_nb","marker","nb","PLit_NB",1000,0.732,0.91
"marker_nb","marker","nb","ReThiN_Pois",100,0.726,0.895
"marker_nb","marker","nb","ReThiN_Pois",200,0.732,0.906
"marker_nb","marker","nb","ReThiN_Pois",500,0.769,0.923
"marker_nb","marker","nb","ReThiN_Pois",1000,0.739,0.91
"marker_nb","marker","nb","ReThiN_NB",100,0.802,0.905
"marker_nb","marker","nb","ReThiN_NB",200,0.835,0.933
"marker_nb","marker","nb","ReThiN_NB",500,0.777,0.921
"marker_nb","marker","nb","ReThiN_NB",1000,0.734,0.908
"subtle_nb","subtle","nb","PLit_Pois",100,0.002,0.06
"subtle_nb","subtle","nb","PLit_Pois",200,0.002,0.064
"subtle_nb","subtle","nb","PLit_Pois",500,0.004,0.069
"subtle_nb","subtle","nb","PLit_Pois",1000,0.004,0.069
"subtle_nb","subtle","nb","PLit_NB",100,0,0.055
"subtle_nb","subtle","nb","PLit_NB",200,0,0.057
"subtle_nb","subtle","nb","PLit_NB",500,0.001,0.058
"subtle_nb","subtle","nb","PLit_NB",1000,0.001,0.059
"subtle_nb","subtle","nb","ReThiN_Pois",100,0.002,0.063
"subtle_nb","subtle","nb","ReThiN_Pois",200,0.003,0.066
"subtle_nb","subtle","nb","ReThiN_Pois",500,0.004,0.069
"subtle_nb","subtle","nb","ReThiN_Pois",1000,0.003,0.066
"subtle_nb","subtle","nb","ReThiN_NB",100,0.001,0.059
"subtle_nb","subtle","nb","ReThiN_NB",200,0.001,0.058
"subtle_nb","subtle","nb","ReThiN_NB",500,0.001,0.059
"subtle_nb","subtle","nb","ReThiN_NB",1000,0,0.055
"multi_nb","multi","nb","PLit_Pois",100,0.951,0.982
"multi_nb","multi","nb","PLit_Pois",200,0.942,0.979
"multi_nb","multi","nb","PLit_Pois",500,0.883,0.957
"multi_nb","multi","nb","PLit_Pois",1000,0.864,0.949
"multi_nb","multi","nb","PLit_NB",100,0.574,0.709
"multi_nb","multi","nb","PLit_NB",200,0.6,0.719
"multi_nb","multi","nb","PLit_NB",500,0.849,0.891
"multi_nb","multi","nb","PLit_NB",1000,0.955,0.969
"multi_nb","multi","nb","ReThiN_Pois",100,0.935,0.976
"multi_nb","multi","nb","ReThiN_Pois",200,0.943,0.979
"multi_nb","multi","nb","ReThiN_Pois",500,0.911,0.967
"multi_nb","multi","nb","ReThiN_Pois",1000,0.862,0.948
"multi_nb","multi","nb","ReThiN_NB",100,0.964,0.985
"multi_nb","multi","nb","ReThiN_NB",200,0.941,0.978
"multi_nb","multi","nb","ReThiN_NB",500,0.893,0.96
"multi_nb","multi","nb","ReThiN_NB",1000,0.87,0.952
"dropout_nb","dropout","nb","PLit_Pois",100,0.604,0.693
"dropout_nb","dropout","nb","PLit_Pois",200,0.859,0.91
"dropout_nb","dropout","nb","PLit_Pois",500,0.847,0.941
"dropout_nb","dropout","nb","PLit_Pois",1000,0.842,0.939
"dropout_nb","dropout","nb","PLit_NB",100,0.409,0.529
"dropout_nb","dropout","nb","PLit_NB",200,0.587,0.673
"dropout_nb","dropout","nb","PLit_NB",500,0.761,0.824
"dropout_nb","dropout","nb","PLit_NB",1000,0.869,0.912
"dropout_nb","dropout","nb","ReThiN_Pois",100,0.588,0.681
"dropout_nb","dropout","nb","ReThiN_Pois",200,0.876,0.913
"dropout_nb","dropout","nb","ReThiN_Pois",500,0.866,0.945
"dropout_nb","dropout","nb","ReThiN_Pois",1000,0.842,0.939
"dropout_nb","dropout","nb","ReThiN_NB",100,0,0.055
"dropout_nb","dropout","nb","ReThiN_NB",200,0,0.055
"dropout_nb","dropout","nb","ReThiN_NB",500,-0.001,0.054
"dropout_nb","dropout","nb","ReThiN_NB",1000,0,0.055
